"date","latitude","longitude","temperature_2m","shortwave_radiation","direct_radiation","diffuse_radiation","direct_normal_irradiance","relative_humidity_2m","dew_point_2m","precipitation","wind_speed_10m","wind_speed_100m","wind_direction_100m","wind_direction_10m","cloud_cover","apparent_temperature","partition_0"
"2025-08-06T16:00:00","40.0795156","-83.0732128","80.43980407714844","719","567.0","152","706.1956787109375","58.400577545166016","64.50980377197266","0.0","4.720282077789307","6.241590976715088","126.2539291381836","126.32691955566406","40","85.56822967529297","2025-01-01_2025-11-05"
"2025-08-06T17:00:00","40.0795156","-83.0732128","81.87979888916016","749","529.0","220","599.7383422851562","54.34040832519531","63.78980255126953","0.0","6.430159568786621","8.578246116638184","129.70986938476562","130.06072998046875","37","86.18708801269531","2025-01-01_2025-11-05"
"2025-08-06T18:00:00","40.0795156","-83.0732128","83.40980529785156","766","589.0","177","644.7369384765625","49.634437561035156","62.61980056762695","0.0","5.222329616546631","7.042998790740967","136.93057250976562","136.7356719970703","24","87.97159576416016","2025-01-01_2025-11-05"
"2025-08-06T19:00:00","40.0795156","-83.0732128","84.6697998046875","788","620.0","168","692.5586547851562","45.73509979248047","61.449798583984375","0.0","3.9718563556671143","5.181444644927978","147.33909606933594","147.652587890625","27","89.59944915771484","2025-01-01_2025-11-05"
"2025-08-06T20:00:00","40.0795156","-83.0732128","85.65980529785156","735","585.0","150","706.2440795898438","43.60734558105469","60.99979782104492","0.0","3.656998872756958","4.7030229568481445","154.65386962890625","156.5712890625","31","89.9678955078125","2025-01-01_2025-11-05"
"2025-08-06T21:00:00","40.0795156","-83.0732128","85.38980102539062","610","479.0","131","667.7075805664062","43.8454704284668","60.9098014831543","0.0","3.651864290237426","4.814749717712402","149.26458740234375","152.65020751953125","34","88.26109313964844","2025-01-01_2025-11-05"
"2025-08-06T22:00:00","40.0795156","-83.0732128","84.84980010986328","466","343.0","123","601.8131713867188","44.32673263549805","60.729801177978516","0.0","3.759890556335449","4.7030229568481445","154.65386962890625","157.24899291992188","27","86.93003845214844","2025-01-01_2025-11-05"
"2025-08-06T23:00:00","40.0795156","-83.0732128","83.22980499267578","268","174.0","94","439.3349609375","46.84798049926758","60.819801330566406","0.0","3.093617916107177","4.297136783599853","141.3401641845703","139.39878845214844","42","85.62938690185547","2025-01-01_2025-11-05"
"2025-08-07T00:00:00","40.0795156","-83.0732128","81.96980285644531","109","61.0","48","293.90521240234375","49.267295837402344","61.08980178833008","0.0","2.903794765472412","4.501875877380371","116.56498718261719","105.6423110961914","31","84.56007385253906","2025-01-01_2025-11-05"
"2025-08-07T01:00:00","40.0795156","-83.0732128","78.8198013305664","14","4.0","10","43.44145965576172","53.399532318115234","60.459800720214844","0.0","5.52498197555542","10.363492965698242","124.89077758789062","121.75943756103516","4","80.05238342285156","2025-01-01_2025-11-05"
"2025-08-07T02:00:00","40.0795156","-83.0732128","77.64979553222656","0","0.0","0","0.0","56.572078704833984","60.99979782104492","0.0","3.799608945846557","8.21088695526123","142.1934051513672","137.385986328125","4","79.82926177978516","2025-01-01_2025-11-05"
